,0,4,9,17,(1 0),(7 0),(0 0),(3 0),(2 1),(10 1),(7 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),32.796
,0,4,9,17,(3 0),(4 0),(0 0),(8 0),(7 1),(1 1),(4 1),(0 2),(11 3),(6 4),(10 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),33.668
,0,4,9,17,(4 0),(0 0),(11 0),(5 0),(0 1),(9 1),(1 1),(9 2),(7 3),(0 4),(8 3),(0 3),(9 5),(4 4),(0 5),(7 7),(0 8),28.771
,0,4,9,17,(10 0),(0 0),(11 0),(6 0),(0 1),(1 1),(3 1),(0 2),(11 3),(6 4),(10 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),31.713
,0,4,9,17,(1 0),(7 0),(0 0),(3 0),(2 1),(10 1),(7 1),(0 2),(11 3),(6 4),(10 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),37.435
,0,4,9,17,(7 0),(8 0),(2 0),(3 0),(11 1),(0 1),(8 1),(0 2),(3 3),(8 4),(4 3),(5 3),(0 5),(5 4),(8 5),(3 7),(8 8),29.947
,0,4,9,17,(1 0),(7 0),(0 0),(3 0),(2 1),(10 1),(7 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),32.802
,0,4,9,17,(4 0),(0 0),(11 0),(5 0),(3 1),(9 1),(0 1),(9 2),(0 3),(5 4),(1 3),(2 3),(9 5),(2 4),(5 5),(0 7),(5 8),30.681
,0,4,9,17,(2 0),(7 0),(1 0),(3 0),(0 1),(10 1),(7 1),(0 2),(11 3),(6 4),(10 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),30.586
,0,4,9,17,(11 0),(7 0),(2 0),(3 0),(10 1),(0 1),(7 1),(0 2),(11 3),(6 4),(10 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),27.361
,1,1,8,110,(0 0),(6 0),(5 0),(1 0),(9 1),(10 1),(6 1),(9 2),(8 3),(1 4),(0 3),(1 3),(5 4),(-1 -1),(1 5),(9 6),(0 7),0.266
,1,1,8,110,(11 0),(3 0),(2 0),(7 0),(3 1),(0 1),(4 1),(1 2),(0 3),(7 4),(11 3),(4 3),(4 4),(-1 -1),(7 5),(1 6),(0 7),0.338
,1,1,8,110,(0 0),(7 0),(1 0),(3 0),(2 1),(10 1),(7 1),(0 2),(11 3),(4 4),(3 3),(4 3),(8 4),(-1 -1),(4 5),(0 6),(2 7),0.269
,0,4,9,17,(11 0),(4 0),(10 0),(0 0),(7 1),(8 1),(4 1),(7 2),(10 3),(3 4),(11 3),(0 3),(7 5),(0 4),(3 5),(10 7),(3 8),0.258
,1,1,8,110,(10 0),(0 0),(11 0),(4 0),(0 1),(8 1),(1 1),(9 2),(8 3),(1 4),(0 3),(1 3),(5 4),(-1 -1),(1 5),(9 6),(0 7),0.298
,1,1,8,110,(11 0),(4 0),(10 0),(0 0),(7 1),(8 1),(4 1),(7 2),(10 3),(0 4),(11 3),(0 3),(4 4),(-1 -1),(0 5),(8 6),(7 7),0.256
,0,4,9,17,(11 0),(1 0),(0 0),(7 0),(1 1),(2 1),(4 1),(0 2),(3 3),(8 4),(4 3),(5 3),(0 5),(5 4),(8 5),(3 7),(8 8),0.296
,0,4,9,17,(10 0),(0 0),(11 0),(6 0),(0 1),(1 1),(3 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),0.335
,0,7,9,23,(1 0),(7 0),(0 0),(3 0),(2 1),(10 1),(7 1),(0 2),(11 3),(0 8),(10 3),(3 3),(4 4),(7 4),(0 5),(10 7),(4 8),0.31
,1,1,8,110,(0 0),(7 0),(2 0),(3 0),(1 1),(10 1),(7 1),(0 2),(11 3),(7 4),(3 3),(4 3),(4 4),(-1 -1),(7 5),(0 6),(2 7),0.287
,1,1,8,110,(10 0),(4 0),(11 0),(0 0),(9 1),(7 1),(4 1),(7 2),(10 3),(3 4),(11 3),(0 3),(0 4),(-1 -1),(3 5),(8 6),(7 7),0.308
,1,1,8,110,(8 0),(4 0),(9 0),(0 0),(4 1),(10 1),(5 1),(8 2),(0 3),(4 4),(11 3),(1 3),(1 4),(-1 -1),(6 5),(4 6),(0 7),0.274
,1,1,8,110,(1 0),(2 0),(0 0),(8 0),(2 1),(3 1),(5 1),(0 2),(11 3),(4 4),(3 3),(4 3),(8 4),(-1 -1),(4 5),(1 6),(0 7),0.283
,1,1,8,110,(0 0),(6 0),(1 0),(2 0),(11 1),(9 1),(6 1),(9 2),(0 3),(5 4),(1 3),(2 3),(2 4),(-1 -1),(5 5),(9 6),(0 7),0.268
,1,1,8,110,(0 0),(7 0),(11 0),(3 0),(10 1),(1 1),(7 1),(0 2),(11 3),(3 4),(10 3),(3 3),(7 4),(-1 -1),(2 5),(0 6),(6 7),0.349
