,1,32,20,184,(0 0),(4 0),(-1 -1),(5 2),(0 2),(2 11),(0 17),(0 5),(3 5),(2 7),(2 6),(0 6),(0 15),(1 8),(0 10),31.53
,1,30,18,178,(0 0),(5 0),(1 2),(0 2),(3 6),(-1 -1),(0 15),(0 8),(1 6),(1 11),(0 7),(3 7),(0 9),(5 8),(0 11),31.432
,1,30,18,178,(0 0),(4 0),(-1 -1),(5 2),(0 6),(0 2),(0 15),(2 8),(0 7),(0 11),(2 7),(3 6),(0 9),(5 8),(4 11),29.788
,0,63,20,146,(0 0),(4 0),(0 2),(5 2),(0 9),(0 14),(0 6),(3 9),(4 10),(0 10),(5 7),(4 12),(0 18),(5 14),(4 14),39.798
,0,63,20,146,(1 0),(0 0),(1 2),(5 2),(0 9),(0 10),(0 6),(3 9),(4 12),(0 14),(5 7),(4 10),(0 18),(5 14),(4 14),31.21
,1,32,20,184,(1 0),(0 0),(-1 -1),(2 2),(3 2),(0 11),(0 17),(3 5),(0 5),(0 7),(3 6),(4 6),(0 15),(5 8),(4 10),29.55
,0,63,20,146,(0 0),(5 0),(0 14),(0 2),(3 9),(1 2),(1 6),(0 9),(0 10),(2 10),(0 7),(0 12),(0 18),(5 14),(4 14),30.865
,0,63,20,146,(2 0),(1 0),(2 2),(0 2),(3 9),(0 10),(1 6),(0 9),(4 12),(0 14),(0 7),(4 10),(0 18),(5 14),(4 14),30.001
,0,63,20,146,(0 0),(4 0),(0 2),(5 2),(0 9),(0 10),(0 6),(3 9),(4 10),(0 14),(5 7),(4 12),(0 18),(5 14),(4 14),0.268
,0,68,20,156,(0 0),(4 0),(0 2),(5 2),(3 13),(0 16),(0 6),(0 13),(0 9),(2 9),(5 7),(0 11),(0 14),(5 14),(4 16),0.296
,1,32,19,183,(1 0),(0 0),(1 2),(5 2),(3 7),(-1 -1),(0 16),(2 6),(1 10),(1 12),(2 7),(0 6),(0 8),(5 8),(0 10),0.281
,1,32,20,184,(1 0),(0 0),(0 7),(2 2),(3 2),(-1 -1),(0 17),(3 5),(0 5),(0 11),(3 6),(4 6),(0 15),(4 8),(5 10),0.281
,1,30,18,178,(0 0),(5 0),(1 2),(0 2),(1 6),(-1 -1),(0 15),(3 8),(1 7),(2 11),(0 7),(4 6),(1 9),(0 8),(1 11),0.285
,1,32,19,183,(2 0),(1 0),(2 3),(0 2),(2 2),(-1 -1),(0 16),(2 9),(2 10),(0 12),(1 6),(0 9),(0 7),(5 8),(4 10),0.284
,1,32,19,183,(0 0),(5 0),(-1 -1),(4 2),(0 2),(0 3),(0 14),(3 7),(1 7),(1 10),(5 6),(3 8),(0 17),(0 8),(5 10),0.338
,1,30,18,178,(0 0),(5 0),(1 2),(0 2),(0 8),(-1 -1),(0 15),(3 6),(1 6),(0 11),(0 7),(3 7),(0 9),(5 8),(4 11),0.277
