,1,73,23,269,(-1 -1),(5 0),(0 15),(0 1),(0 10),(5 10),(6 2),(4 15),(0 3),(6 3),(1 6),(0 20),(2 6),(5 4),(3 6),(0 6),(1 7),(0 9),(5 9),(0 8),0.401
,1,69,21,259,(0 0),(7 0),(0 16),(0 5),(-1 -1),(5 12),(5 2),(4 17),(0 13),(5 5),(5 3),(0 10),(6 3),(7 4),(5 4),(4 6),(0 7),(0 9),(5 11),(4 8),0.404
,0,113,24,250,(0 0),(5 0),(4 19),(0 19),(0 5),(5 14),(6 2),(0 21),(0 16),(5 5),(6 3),(0 13),(7 3),(7 9),(5 4),(7 6),(0 10),(0 12),(4 11),(7 8),0.346
,1,68,22,258,(-1 -1),(6 5),(0 0),(4 1),(2 17),(5 12),(5 3),(4 9),(0 12),(0 15),(4 3),(0 5),(7 3),(5 4),(6 4),(7 6),(0 9),(0 8),(0 11),(7 8),0.333
,1,69,22,260,(-1 -1),(6 3),(0 0),(4 1),(0 17),(5 9),(4 3),(0 8),(0 5),(5 14),(5 5),(0 14),(7 3),(7 4),(4 4),(5 6),(0 12),(0 11),(4 8),(4 9),0.43
,1,67,22,256,(-1 -1),(6 4),(0 0),(4 1),(0 17),(5 15),(6 3),(0 14),(0 5),(5 9),(5 3),(0 11),(4 3),(7 4),(4 4),(5 6),(0 8),(0 10),(4 8),(4 9),0.423
,0,102,24,228,(0 0),(5 0),(4 5),(0 5),(0 19),(5 17),(6 2),(0 9),(0 13),(5 11),(7 3),(0 16),(6 3),(7 12),(5 4),(7 10),(0 7),(0 12),(4 10),(4 11),0.392
,1,71,21,263,(3 0),(2 0),(0 13),(1 5),(-1 -1),(5 16),(0 2),(4 13),(0 18),(6 5),(1 3),(0 10),(0 3),(0 4),(1 4),(5 6),(1 7),(0 9),(5 11),(5 8),0.35
,1,67,22,256,(-1 -1),(6 4),(0 0),(4 1),(0 17),(5 15),(6 3),(0 11),(0 14),(5 9),(5 3),(0 5),(4 3),(7 4),(4 4),(5 6),(0 8),(0 10),(4 8),(4 9),0.309
,0,104,24,232,(0 0),(7 0),(0 5),(4 5),(0 19),(5 18),(5 2),(4 9),(0 13),(5 12),(5 3),(0 16),(6 3),(7 12),(5 4),(3 10),(4 7),(0 12),(0 10),(0 11),0.408
,1,69,22,260,(0 0),(7 0),(4 17),(0 5),(-1 -1),(5 12),(5 2),(0 16),(0 13),(5 5),(6 3),(0 10),(5 3),(7 4),(5 4),(4 6),(0 7),(0 9),(5 11),(4 8),0.476
,1,67,23,257,(-1 -1),(7 4),(0 0),(4 1),(0 15),(5 18),(6 3),(0 9),(0 12),(5 12),(5 3),(0 5),(4 3),(6 4),(4 4),(5 6),(4 10),(1 8),(4 9),(0 8),0.362
,1,70,24,264,(0 0),(7 0),(-1 -1),(1 5),(0 19),(5 12),(5 2),(0 16),(0 10),(5 5),(5 3),(0 13),(6 3),(7 4),(5 4),(0 6),(1 7),(0 9),(5 11),(0 8),0.362
,1,66,23,255,(-1 -1),(7 4),(0 0),(4 1),(0 15),(5 11),(6 3),(0 5),(0 12),(5 5),(5 3),(0 20),(4 3),(4 4),(5 4),(7 8),(0 10),(0 9),(0 8),(3 8),0.412
,1,69,21,259,(2 0),(7 0),(0 16),(0 5),(-1 -1),(5 12),(0 2),(4 17),(0 13),(5 5),(0 3),(0 10),(1 3),(7 4),(0 4),(4 6),(0 7),(0 9),(5 11),(4 8),0.345
,0,114,24,252,(0 0),(7 0),(4 5),(0 5),(0 12),(5 17),(5 2),(0 9),(0 20),(5 11),(6 3),(0 17),(5 3),(7 12),(5 4),(4 10),(0 7),(0 23),(5 10),(7 11),0.378
,1,67,22,256,(-1 -1),(6 5),(4 0),(0 1),(0 17),(5 15),(0 3),(0 4),(0 14),(5 9),(3 3),(0 9),(2 3),(7 5),(4 5),(5 6),(0 12),(0 7),(0 8),(3 8),0.351
,0,110,24,244,(0 0),(7 0),(0 19),(4 19),(0 5),(5 12),(5 2),(4 21),(0 16),(5 5),(5 3),(0 13),(6 3),(7 4),(5 4),(7 10),(0 11),(0 10),(4 11),(7 9),0.316
,1,66,21,253,(-1 -1),(7 4),(0 0),(4 1),(0 16),(0 8),(4 3),(0 13),(1 5),(5 15),(7 3),(3 10),(6 3),(6 4),(4 4),(0 6),(4 13),(3 9),(3 8),(7 8),0.35
,1,69,22,260,(0 0),(5 0),(4 17),(0 5),(-1 -1),(5 12),(6 2),(0 16),(0 10),(5 5),(6 3),(0 13),(7 3),(7 4),(5 4),(4 6),(0 7),(0 9),(5 11),(4 8),0.371
,0,101,24,226,(0 0),(5 0),(4 14),(0 8),(0 19),(5 19),(6 2),(0 16),(0 11),(6 5),(6 3),(1 5),(7 3),(5 8),(5 4),(0 6),(0 14),(0 10),(5 13),(4 8),0.355
,1,73,22,268,(0 0),(7 0),(4 17),(0 5),(-1 -1),(5 12),(5 2),(0 16),(0 12),(5 5),(6 3),(0 9),(5 3),(7 4),(5 4),(4 6),(0 7),(0 15),(5 11),(4 8),0.343
,1,69,23,261,(-1 -1),(6 0),(0 13),(2 1),(0 18),(5 16),(0 2),(4 13),(0 10),(5 5),(5 3),(0 3),(7 3),(7 4),(5 4),(4 6),(0 7),(0 9),(5 11),(4 8),0.366
,1,70,22,262,(-1 -1),(7 0),(0 12),(2 1),(0 17),(5 17),(0 2),(4 14),(0 9),(6 5),(0 3),(1 3),(6 3),(0 4),(6 4),(5 8),(4 12),(1 7),(1 8),(4 8),0.339
,1,71,24,266,(-1 -1),(4 0),(0 0),(1 5),(0 16),(5 11),(5 2),(0 21),(0 10),(6 3),(0 5),(0 13),(5 3),(5 5),(4 4),(0 6),(1 7),(0 9),(5 10),(0 8),0.333
,1,70,21,261,(-1 -1),(6 0),(0 0),(0 5),(0 16),(5 15),(4 2),(4 4),(0 13),(6 9),(4 3),(0 10),(5 3),(5 10),(4 7),(7 7),(0 7),(0 9),(4 8),(5 9),0.331
,0,99,24,222,(1 0),(0 0),(4 11),(1 8),(0 19),(5 19),(6 2),(0 13),(1 5),(6 5),(6 3),(3 16),(7 3),(0 4),(6 4),(5 9),(0 11),(0 10),(0 16),(5 8),0.417
,1,68,24,260,(-1 -1),(6 0),(0 0),(0 5),(0 19),(5 11),(4 2),(0 16),(0 10),(6 4),(5 3),(0 13),(4 3),(5 5),(4 4),(4 6),(0 7),(0 9),(5 10),(4 8),0.349
,1,65,23,253,(0 18),(7 4),(0 0),(4 1),(-1 -1),(5 11),(6 3),(0 5),(0 15),(5 5),(4 3),(0 12),(5 3),(4 4),(5 4),(7 8),(0 10),(0 9),(0 8),(3 8),0.371
,1,68,24,260,(-1 -1),(6 0),(2 0),(1 5),(0 19),(5 11),(0 2),(0 10),(0 16),(6 4),(0 3),(0 13),(1 3),(5 5),(0 4),(0 6),(1 7),(0 9),(4 10),(0 8),0.32
,1,69,21,259,(0 0),(7 0),(0 16),(0 5),(-1 -1),(5 12),(5 2),(4 17),(0 13),(5 5),(5 3),(0 10),(6 3),(7 4),(5 4),(4 6),(0 7),(0 9),(5 11),(4 8),0.314
