,1,8,10,126,(10 1),(4 0),(-1 -1),(6 0),(0 0),(6 1),(0 4),(3 5),(6 2),(8 2),(10 3),(10 5),(8 7),(8 8),31.049
,1,8,10,126,(0 1),(6 0),(8 0),(0 0),(-1 -1),(2 1),(9 4),(4 5),(0 2),(2 2),(4 3),(0 5),(0 7),(0 8),30.046
,1,8,10,126,(4 1),(10 0),(6 0),(0 0),(-1 -1),(0 1),(9 5),(4 4),(4 2),(0 2),(2 3),(2 5),(3 8),(0 7),26.81
,1,8,10,126,(10 1),(4 0),(0 0),(6 0),(-1 -1),(6 1),(0 4),(3 5),(6 2),(10 2),(8 3),(8 5),(8 7),(8 8),0.258
,0,32,10,74,(10 0),(0 0),(6 0),(0 9),(2 0),(5 9),(2 4),(5 4),(0 5),(10 2),(10 6),(0 7),(5 8),(9 8),0.306
,1,10,9,129,(4 0),(8 2),(0 0),(6 0),(4 1),(8 1),(0 4),(-1 -1),(10 2),(10 4),(3 5),(5 5),(3 7),(7 7),0.248
,1,8,10,126,(0 1),(10 0),(6 0),(0 0),(-1 -1),(2 1),(4 4),(7 5),(4 2),(0 2),(2 3),(2 5),(0 7),(0 8),0.341
,1,9,10,128,(0 0),(2 0),(8 1),(4 0),(-1 -1),(4 1),(9 5),(4 5),(4 2),(0 2),(6 3),(2 5),(0 7),(0 8),0.254
,1,9,10,128,(4 1),(10 0),(6 0),(0 0),(-1 -1),(0 1),(4 4),(7 5),(4 2),(2 2),(0 3),(0 5),(0 9),(0 7),0.315
,1,8,10,126,(4 1),(10 0),(-1 -1),(0 0),(6 0),(0 1),(9 5),(4 4),(4 2),(0 2),(2 3),(2 5),(0 7),(0 8),0.278
,1,9,10,128,(0 0),(4 0),(6 1),(6 0),(-1 -1),(0 1),(4 5),(7 5),(0 2),(2 2),(10 3),(0 5),(0 7),(0 8),0.311
,1,8,10,126,(6 1),(4 0),(0 0),(6 0),(-1 -1),(8 1),(0 4),(3 5),(10 2),(8 2),(6 3),(10 5),(8 7),(8 8),0.254
,0,29,10,68,(6 0),(0 0),(8 0),(0 9),(2 0),(5 8),(2 4),(5 4),(6 2),(0 5),(10 4),(10 6),(5 9),(9 8),0.351
,1,9,10,128,(4 0),(8 1),(-1 -1),(6 0),(0 0),(4 1),(0 4),(3 6),(4 2),(6 2),(10 3),(10 5),(8 7),(8 8),0.337
,1,8,10,126,(4 1),(10 0),(-1 -1),(0 0),(6 0),(0 1),(9 5),(4 4),(4 2),(2 2),(0 3),(0 5),(3 8),(0 7),0.323
,1,9,10,128,(0 0),(4 0),(-1 -1),(6 0),(6 1),(0 1),(9 5),(4 5),(10 2),(0 2),(2 3),(2 5),(0 7),(0 8),0.289
,1,9,10,128,(10 1),(0 0),(2 0),(6 0),(-1 -1),(6 1),(4 4),(7 6),(6 2),(8 2),(10 3),(0 5),(0 7),(0 8),0.298
,1,9,10,128,(0 0),(4 0),(6 1),(6 0),(-1 -1),(0 1),(4 5),(7 5),(10 2),(2 2),(0 3),(0 5),(0 7),(0 8),0.283
,1,10,10,130,(4 0),(9 4),(-1 -1),(6 0),(0 0),(7 1),(4 1),(4 6),(9 2),(7 2),(0 4),(2 5),(0 7),(0 8),0.266
