1,29,28,186,(9 0),(10 0),(6 0),(5 2),(1 7),(0 2),(6 5),(5 6),(10 6),(0 7),(-1 -1),(5 10),(9 12),(8 10),(8 12),(1 13),(10 14),(3 18),(5 17),(0 15),(8 22),(2 18),(0 18),(2 23),41.702
1,23,30,176,(4 0),(11 0),(5 0),(10 2),(0 2),(-1 -1),(6 5),(6 6),(4 5),(11 7),(6 10),(1 8),(0 8),(9 10),(9 12),(4 13),(10 15),(1 19),(1 15),(1 16),(6 22),(0 17),(10 21),(0 23),37.82
1,43,30,216,(7 0),(5 0),(8 0),(6 2),(-1 -1),(0 2),(3 7),(7 5),(10 9),(6 8),(0 7),(3 8),(11 17),(7 9),(9 12),(7 13),(1 19),(5 22),(3 15),(0 27),(5 16),(10 17),(3 18),(0 23),40.542
1,28,28,184,(8 0),(11 0),(5 0),(10 2),(4 9),(0 2),(1 7),(5 5),(10 6),(0 7),(-1 -1),(1 8),(8 11),(8 9),(9 12),(10 14),(10 16),(3 18),(0 15),(3 15),(8 22),(0 17),(1 18),(0 23),38.218
0,64,30,158,(5 0),(11 0),(6 0),(10 2),(5 9),(0 2),(0 7),(5 5),(10 6),(4 7),(3 18),(1 8),(0 8),(9 14),(11 14),(0 27),(6 24),(6 16),(6 15),(1 15),(8 24),(0 17),(1 18),(0 23),38.308
0,57,30,144,(0 0),(11 0),(1 0),(10 2),(0 9),(5 2),(6 7),(0 5),(10 6),(5 7),(7 15),(7 8),(6 8),(10 14),(4 12),(10 16),(5 17),(0 22),(0 15),(7 27),(0 16),(6 23),(10 18),(5 23),39.379
1,39,30,208,(0 0),(4 0),(1 0),(9 7),(0 6),(5 2),(0 5),(-1 -1),(10 5),(8 7),(4 18),(4 7),(7 8),(9 13),(1 19),(2 13),(0 13),(7 22),(8 15),(2 15),(8 16),(7 17),(2 18),(0 23),39.989
1,45,30,220,(4 0),(0 0),(1 0),(11 2),(5 2),(-1 -1),(1 5),(0 6),(9 5),(11 7),(5 8),(0 10),(3 15),(3 10),(4 15),(3 13),(10 22),(5 22),(8 15),(0 27),(8 16),(2 17),(0 18),(2 23),0.408
1,31,30,192,(8 0),(9 0),(5 0),(10 2),(1 7),(0 2),(5 5),(5 6),(10 6),(0 7),(-1 -1),(5 10),(8 10),(3 13),(9 12),(1 13),(10 14),(7 22),(0 15),(3 17),(3 20),(0 17),(1 18),(0 23),0.393
1,27,30,184,(4 0),(8 0),(5 0),(11 2),(0 2),(-1 -1),(4 5),(4 6),(9 5),(11 7),(6 10),(1 8),(0 8),(4 10),(9 13),(4 13),(10 15),(3 22),(3 18),(1 15),(8 23),(0 17),(1 18),(0 23),0.407
1,36,30,202,(6 0),(11 0),(7 0),(0 2),(7 9),(1 2),(0 7),(6 5),(8 18),(11 7),(-1 -1),(2 8),(0 8),(5 9),(1 12),(5 13),(10 18),(1 22),(2 15),(6 15),(2 16),(0 17),(6 18),(0 23),0.42
1,44,30,218,(10 0),(9 0),(0 0),(3 2),(6 7),(4 2),(0 6),(-1 -1),(10 5),(0 7),(3 7),(3 19),(1 8),(6 13),(2 12),(8 13),(10 13),(6 22),(6 15),(0 27),(6 16),(11 19),(0 18),(2 23),0.504
1,44,30,218,(8 0),(11 0),(5 0),(0 2),(1 2),(3 14),(5 5),(0 8),(9 5),(8 7),(-1 -1),(5 7),(11 8),(3 12),(0 12),(1 13),(8 16),(7 22),(8 15),(0 27),(3 19),(10 17),(1 18),(0 23),0.506
1,38,30,206,(5 0),(7 0),(9 0),(8 2),(3 24),(0 2),(7 6),(0 7),(5 5),(10 7),(-1 -1),(7 7),(11 8),(1 11),(0 12),(3 13),(1 13),(7 22),(3 15),(6 15),(3 18),(11 17),(1 19),(0 23),0.487
1,33,30,196,(9 0),(3 0),(0 0),(8 2),(4 2),(-1 -1),(8 6),(3 8),(1 5),(11 7),(3 18),(8 7),(0 8),(3 12),(6 19),(1 13),(6 13),(7 22),(8 15),(1 15),(8 16),(0 17),(1 18),(0 23),0.448
1,45,30,220,(5 0),(9 0),(6 0),(10 2),(0 7),(0 2),(5 5),(5 18),(5 6),(11 7),(-1 -1),(7 7),(10 8),(0 13),(4 12),(2 13),(0 22),(3 22),(0 15),(5 15),(0 16),(8 22),(10 18),(2 23),0.429
1,43,30,216,(8 0),(9 0),(5 0),(10 2),(5 6),(0 2),(5 5),(6 18),(9 6),(3 7),(-1 -1),(0 7),(4 8),(5 12),(11 12),(7 13),(0 22),(6 22),(0 15),(5 15),(0 16),(2 22),(4 18),(3 23),0.428
1,39,30,208,(10 0),(0 0),(1 0),(4 2),(-1 -1),(5 2),(0 6),(1 7),(10 5),(0 7),(6 7),(5 22),(9 8),(1 11),(11 13),(1 13),(4 13),(0 22),(0 15),(4 19),(0 16),(11 23),(9 18),(8 23),0.52
1,29,30,188,(5 0),(9 0),(6 0),(10 2),(0 7),(0 2),(5 5),(5 6),(10 6),(4 7),(-1 -1),(5 10),(9 12),(8 10),(8 12),(2 13),(0 13),(5 22),(2 15),(2 17),(1 20),(7 17),(10 18),(0 23),0.377
1,40,30,210,(8 0),(9 0),(5 0),(10 2),(8 6),(0 2),(5 5),(0 26),(6 6),(3 7),(-1 -1),(0 7),(11 12),(4 9),(10 12),(4 13),(8 13),(0 18),(5 15),(0 15),(7 22),(7 17),(5 18),(11 23),0.475
1,41,30,212,(8 0),(10 0),(5 0),(9 2),(1 7),(0 2),(5 5),(5 6),(10 6),(0 7),(-1 -1),(6 10),(11 14),(1 13),(5 12),(3 13),(9 14),(1 22),(0 15),(6 27),(0 16),(4 17),(6 18),(0 23),0.449
1,38,30,206,(1 0),(0 0),(2 0),(11 2),(2 9),(6 2),(8 7),(1 5),(6 7),(8 8),(0 18),(-1 -1),(9 8),(0 9),(10 19),(0 13),(10 13),(5 22),(5 15),(0 15),(5 16),(9 17),(3 18),(11 23),0.477
1,43,30,216,(9 0),(0 0),(6 0),(10 13),(-1 -1),(1 2),(6 5),(1 7),(10 5),(0 7),(6 7),(3 11),(9 8),(1 11),(11 13),(1 13),(9 17),(3 22),(0 15),(3 19),(8 23),(0 17),(1 18),(0 23),0.394
1,44,30,218,(9 0),(10 0),(5 0),(8 2),(1 7),(0 2),(3 13),(7 6),(5 5),(0 7),(-1 -1),(9 19),(9 10),(7 10),(3 18),(1 13),(10 13),(4 22),(5 15),(0 15),(5 16),(2 18),(0 18),(2 23),0.406
1,40,30,210,(6 0),(0 0),(7 0),(11 2),(3 18),(1 2),(6 11),(6 5),(4 7),(0 7),(-1 -1),(1 7),(11 8),(6 9),(10 12),(6 13),(8 13),(7 22),(0 15),(3 15),(3 24),(2 17),(0 18),(2 23),0.419
1,38,28,204,(10 0),(9 0),(0 0),(8 2),(4 11),(3 2),(8 6),(3 7),(1 5),(8 7),(-1 -1),(9 7),(3 11),(1 15),(0 12),(1 13),(9 16),(3 20),(8 15),(4 17),(8 22),(11 17),(1 18),(0 23),0.461
1,42,30,214,(8 0),(10 0),(5 0),(11 2),(0 7),(0 2),(4 9),(5 5),(10 6),(8 9),(-1 -1),(4 10),(9 9),(2 13),(7 12),(0 13),(10 14),(7 22),(0 15),(0 27),(1 17),(0 17),(5 18),(0 23),0.412
1,40,30,210,(8 0),(0 0),(5 0),(9 2),(1 2),(4 10),(5 5),(5 6),(10 5),(0 7),(-1 -1),(1 8),(9 10),(7 15),(6 15),(4 15),(10 13),(7 22),(0 15),(7 19),(0 16),(1 22),(4 18),(0 23),0.413
1,31,30,192,(5 0),(0 0),(2 0),(1 2),(-1 -1),(6 2),(2 5),(0 6),(5 7),(7 7),(8 7),(0 10),(11 8),(3 10),(3 12),(6 15),(4 15),(3 22),(0 17),(6 19),(8 22),(11 17),(0 18),(2 23),0.473
1,38,30,206,(9 0),(3 0),(0 0),(10 2),(-1 -1),(4 2),(0 6),(6 7),(6 11),(11 7),(3 7),(0 7),(9 13),(9 11),(8 12),(0 14),(10 15),(7 22),(0 16),(3 19),(3 22),(0 17),(1 18),(0 23),0.414
1,45,30,220,(9 0),(11 0),(0 0),(3 2),(4 7),(4 2),(0 6),(6 18),(9 5),(8 7),(-1 -1),(1 7),(0 8),(4 13),(11 12),(6 13),(2 22),(4 22),(1 15),(6 15),(2 16),(9 22),(0 18),(10 23),0.392
1,47,30,224,(4 0),(6 0),(7 0),(5 2),(0 2),(-1 -1),(7 9),(7 5),(7 10),(3 8),(4 7),(0 8),(11 9),(9 10),(6 19),(4 19),(9 13),(0 22),(0 15),(7 27),(0 16),(11 18),(7 18),(5 23),0.401
1,40,30,210,(1 0),(11 0),(7 0),(0 2),(3 2),(-1 -1),(7 5),(7 6),(1 5),(0 7),(9 10),(3 8),(4 18),(6 10),(1 18),(1 13),(10 22),(5 22),(5 15),(0 15),(5 16),(0 18),(2 18),(0 23),0.4
1,36,30,202,(7 0),(9 0),(4 0),(8 2),(0 2),(4 6),(4 5),(1 11),(10 5),(9 7),(-1 -1),(7 15),(0 8),(1 9),(6 12),(7 13),(10 13),(5 22),(1 15),(0 22),(1 16),(0 17),(10 19),(0 25),0.39
1,34,30,198,(0 0),(10 0),(6 0),(1 2),(2 2),(-1 -1),(6 5),(6 6),(0 6),(11 7),(6 10),(2 8),(5 8),(9 10),(9 12),(0 14),(10 15),(6 22),(2 15),(0 27),(0 16),(11 21),(4 18),(0 23),0.493
1,42,30,214,(3 0),(4 9),(0 0),(5 2),(6 2),(-1 -1),(0 11),(0 5),(10 5),(5 7),(1 18),(6 8),(9 8),(0 9),(0 18),(0 13),(10 13),(4 22),(5 15),(0 15),(5 16),(9 17),(10 19),(9 23),0.511
1,30,30,190,(0 0),(11 0),(6 0),(10 2),(2 2),(-1 -1),(6 5),(6 6),(0 5),(11 7),(6 10),(2 8),(5 8),(9 10),(9 12),(0 13),(10 15),(3 22),(8 22),(0 15),(8 23),(5 17),(1 18),(0 23),0.41
1,34,30,198,(6 0),(5 0),(7 0),(4 2),(0 2),(-1 -1),(6 5),(4 6),(10 5),(3 8),(4 10),(0 8),(9 8),(7 10),(10 19),(7 13),(10 13),(0 22),(0 15),(5 27),(0 16),(7 17),(8 18),(5 23),0.486
1,42,30,214,(3 0),(10 0),(0 0),(4 2),(-1 -1),(5 2),(0 5),(0 6),(3 10),(11 7),(5 7),(8 7),(8 14),(0 10),(9 14),(0 13),(10 15),(3 19),(0 15),(0 27),(8 24),(0 17),(1 18),(0 23),0.413
1,40,30,210,(3 0),(9 0),(0 0),(10 2),(8 24),(4 2),(0 5),(3 7),(9 6),(8 7),(-1 -1),(0 7),(11 8),(3 11),(5 12),(3 13),(8 18),(1 22),(0 15),(6 15),(0 16),(4 17),(6 18),(0 23),0.418
1,43,30,216,(5 0),(10 0),(6 0),(11 2),(5 9),(0 2),(0 7),(5 5),(10 6),(11 14),(-1 -1),(2 8),(9 9),(0 9),(10 14),(7 15),(0 13),(1 22),(2 15),(6 27),(3 16),(2 17),(7 18),(0 23),0.469
1,36,30,202,(5 0),(11 0),(6 0),(10 2),(4 9),(0 2),(1 7),(5 5),(10 6),(0 7),(3 18),(1 8),(10 14),(8 9),(11 14),(0 16),(8 13),(-1 -1),(0 15),(3 15),(6 19),(2 17),(0 18),(2 23),0.453
1,30,30,190,(1 0),(0 0),(2 0),(10 2),(-1 -1),(5 2),(1 5),(0 6),(9 7),(5 7),(4 18),(6 7),(11 8),(0 10),(1 19),(2 13),(0 13),(7 22),(7 15),(2 15),(7 16),(11 17),(2 18),(0 23),0.467
1,38,29,205,(0 0),(11 0),(7 0),(2 2),(3 2),(7 6),(7 5),(7 11),(0 5),(2 7),(0 16),(9 18),(3 8),(4 9),(6 12),(0 13),(4 13),(-1 -1),(0 15),(7 15),(3 22),(3 17),(7 18),(9 25),0.4
1,37,30,204,(8 0),(11 0),(5 0),(10 2),(4 10),(0 2),(4 9),(5 5),(10 6),(9 11),(-1 -1),(0 7),(3 8),(8 9),(8 12),(0 14),(10 14),(2 22),(0 16),(7 22),(4 16),(2 17),(0 18),(7 25),0.481
1,34,30,198,(9 0),(10 0),(6 0),(0 2),(-1 -1),(1 2),(6 5),(6 6),(0 7),(2 7),(3 7),(6 10),(11 8),(9 10),(9 12),(0 15),(10 17),(1 22),(6 17),(1 19),(8 23),(0 17),(6 18),(0 23),0.468
1,38,30,206,(9 0),(10 0),(0 0),(8 2),(8 6),(3 2),(3 7),(5 18),(0 5),(2 7),(-1 -1),(5 8),(10 12),(3 9),(11 12),(0 13),(3 13),(7 22),(0 15),(5 15),(3 22),(0 17),(1 18),(0 23),0.403
1,43,30,216,(0 0),(11 0),(1 0),(5 2),(3 24),(6 2),(0 11),(0 5),(9 7),(5 7),(-1 -1),(6 7),(11 8),(0 9),(2 12),(0 13),(8 16),(7 22),(8 15),(3 15),(3 18),(10 17),(0 18),(2 23),0.459
